Target,Text,length,punct
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",158,10
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,136,12
ham,Yup...,6,3
ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",126,13
ham,"Sorry, I'll call later",22,2
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,124,18
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",92,2
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",147,8
ham,"Hiya, had a good day? Have you spoken to since the weekend?",59,3
ham,Please tell me you have some of that special stock you were talking about,73,0
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,123,8
ham,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng",157,8
ham,Then wat r u doing now? Busy wif work?,38,2
ham,Yup ok...,9,3
ham,What time you think you'll have it? Need to know when I should be near campus,77,2
ham,Wat time ü finish?,18,1
ham,"Ya, told..she was asking wats matter?",37,4
ham,K..i deleted my contact that why?,33,3
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,133,6
ham,Siva is in hostel aha:-.,24,3
ham,Some are lasting as much as 2 hours. You might get lucky.,57,2
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",126,3
ham,As in i want custom officer discount oh.,40,1
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",158,9
ham,Hmmm.but you should give it on one day..,40,3
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),75,2
ham,How much you got for cleaning,29,0
ham,You are a very very very very bad girl. Or lady.,48,2
ham,I am in hospital da. . I will return home in evening,52,2
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,123,5
ham,Babe ? I lost you ... Will you try rebooting ?,46,5
ham,I think i've fixed it can you send a test message?,50,2
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,69,5
ham,Get ready to put on your excellent sub face :),46,2
ham,Are you this much buzy,22,0
ham,"Ta-Daaaaa! I am home babe, are you still up ?",45,4
ham,I need to come home and give you some good lovin...,51,3
ham,K:)k..its good:)when are you going?,35,7
ham,Or remind me in a few hrs.,26,1
ham,Wat ü doing now?,16,1
ham,Ma head dey swell oh. Thanks for making my day,46,1
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg",79,2
ham,Then get some cash together and I'll text jason,47,1
ham,Ok...,5,3
ham,Gudnite....tc...practice going on,33,7
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,64,4
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",169,15
ham,Ok..,4,2
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",157,11
ham,Yup ok...,9,3
ham,Dear good morning how you feeling dear,38,0
ham,I am not having her number sir,30,0
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",97,5
ham,Am I the only one who doesn't stalk profiles?,45,2
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,80,2
ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,68,4
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?,80,2
ham,You best watch what you say cause I get drunk as a motherfucker,63,0
ham,"Awesome, text me when you're restocked",38,2
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.",142,10
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",133,4
ham,What you doing?how are you?,27,2
ham,"Not much, just some textin'. How bout you?",42,4
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,116,6
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",141,18
ham,So can collect ur laptop?,25,1
ham,Gettin rdy to ship comp,23,0
ham,Hows that watch resizing,24,0
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",151,9
ham,Yar lor... How u noe? U used dat route too?,43,5
ham,Wat happened to the cruise thing,32,0
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,2
ham,Pete can you please ring meive hardly gotany credit,51,0
ham,His bday real is in april .,27,1
ham,"Yeah, where's your class at?",28,3
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,6
ham,"Nah, I'm a perpetual DD",23,2
ham,So how many days since then?,28,1
ham,I'll be late...,15,4
ham,Early bird! Any purchases yet?,30,2
ham,Where are you lover ? I need you ...,36,4
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,109,3
ham,"Goodmorning, today i am late for 2hrs. Because of back pain.",60,3
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,107,2
ham,"I can. But it will tell quite long, cos i haven't finish my film yet...",71,6
ham,Text her. If she doesnt reply let me know so i can have her log in,66,1
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,96,4
ham,K then 2marrow are you coming to class.,39,1
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,92,1
ham,"Alright we're hooked up, where you guys at",42,2
ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,63,6
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,140,1
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,104,3
ham,I love to cuddle! I want to hold you in my strong arms right now...,67,4
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,93,11
ham,Can you please send me my aunty's number,40,1
ham,Normally i use to drink more water daily:),42,2
ham,Check with nuerologist.,23,1
ham,S:-)if we have one good partnership going we will take lead:),61,5
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",226,10
ham,I can take you at like noon,27,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,5
ham,2mro i am not coming to gym machan. Goodnight.,46,2
ham,"Better than bb. If he wont use it, his wife will or them doctor",63,2
ham,Am going to take bath ill place the key in window:-),52,3
ham,You could have seen me..i did't recognise you Face.:),53,6
ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",87,4
ham,Then why you came to hostel.,28,1
ham,Nah dub but je still buff,25,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,10
ham,And do you have any one that can teach me how to ship cars.,59,1
ham,Send me the new number,22,0
ham,Hi mom we might be back later than  &lt;#&gt; ,46,5
ham,Ugh my leg hurts. Musta overdid it on mon.,42,2
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",154,8
ham,Dude we should go sup again,27,0
ham,"Sorry, I'll call later",22,2
ham,Jus finish watching tv... U?,28,4
ham,No problem. Talk to you later,29,1
ham,Good Morning plz call me sir,28,0
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx,129,1
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,85,3
ham,Hey are you angry with me. Reply me dr.,39,2
ham,Thanks for this hope you had a good day today,45,0
ham,Great to hear you are settling well. So what's happenin wit ola?,64,3
ham,Ok set let u noe e details later...,35,3
ham,"Since when, which side, any fever, any vomitin.",47,4
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",81,3
ham,You see the requirements please,31,0
ham,2 and half years i missed your friendship:-),44,3
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps ,71,2
ham,But i dint slept in afternoon.,30,1
ham,Hey what are you doing. Y no reply pa..,39,3
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",61,8
ham,G wants to know where the fuck you are,38,0
ham,He needs to stop going to bed and make with the fucking dealing,63,0
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",121,3
ham,Every monday..nxt week vl be completing..,41,4
ham,Lmao you know me so well...,27,3
ham,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,100,3
ham,Er yep sure. Props?,19,2
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,15
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,72,9
ham,"Yes, my reg is  Ciao!",21,2
ham,No chikku nt yet.. Ya i'm free,30,3
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",81,3
ham,Thank You meet you monday,25,0
ham,You sure your neighbors didnt pick it up,40,0
ham,"Just dropped em off, omw back now",33,1
ham,Hey i've booked the 2 lessons on sun liao...,44,4
ham,hanks lotsly!,13,1
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",154,11
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),119,9
ham,U dun say so early hor... U c already then say...,49,6
ham,"Yeah that's what I thought, lemme know if anything's goin on later",66,3
ham,"Yes, princess. Are you going to make me moan?",45,3
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",120,4
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",67,5
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,8
ham,Oh k. . I will come tomorrow,28,2
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,115,3
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,115,13
ham,No da. . Vijay going to talk in jaya tv,39,2
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,4
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",156,6
ham,So do you have samus shoulders yet,34,0
ham,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,166,10
ham,Okey dokey swashbuckling stuff what oh.,39,1
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,119,3
ham,I keep ten rs in my shelf:) buy two egg.,40,3
ham,He remains a bro amongst bros,29,0
ham,So ü'll be submitting da project tmr rite?,42,2
ham,Oh ho. Is this the first time u use these type of words,55,1
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,83,8
ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",123,16
ham,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),89,12
ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,62,2
ham,"Aight, call me once you're close",32,2
ham,I've reached sch already...,27,4
ham,o turns out i had stereo love on mi phone under the unknown album.,66,1
ham,Shall i get my pouch?,21,1
ham,"No, its true..k,Do u knw dis no. &lt;#&gt; ?",44,11
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,95,4
ham,Mmm so yummy babe ... Nice jolt to the suzy,43,3
ham,No plans yet. What are you doing ?,34,2
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,6
ham,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",159,5
ham,Yup i've finished c ü there...,30,4
ham,Now i'm going for lunch.,24,2
ham,He also knows about lunch menu only da. . I know,48,2
ham,Do I? I thought I put it back in the box,40,1
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",236,6
ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),229,5
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",155,5
ham,"Ask g or iouri, I've told the story like ten times already",58,2
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,71,9
ham,1's finish meeting call me.,27,2
ham,No calls..messages..missed calls,32,4
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! ",150,9
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,67,4
ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,68,4
ham,"Nope. Since ayo travelled, he has forgotten his guy",51,2
ham,"Cool, what time you think you can get here?",43,2
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,212,13
ham,Can ü send me a copy of da report?,34,1
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",300,14
ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,114,3
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),75,2
ham,"Yeah, we got one lined up for us",32,1
ham,LOL ... No just was busy,24,3
ham,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,159,8
ham,Yes. It's all innocent fun. O:-),32,6
ham,I dont. Can you send it to me. Plus how's mode.,47,4
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),126,6
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,115,2
ham,"Haha better late than ever, any way I could swing by?",53,2
ham,"Not sure yet, still trying to get a hold of him",47,1
ham,"Miss ya, need ya, want ya, love ya.",35,4
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",133,7
ham,I can't make it tonight,23,1
ham,Come by our room at some point so we can iron out the plan for this weekend,75,0
ham,I cant pick the phone right now. Pls send a message,51,1
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",588,59
ham,Ok. How many should i buy.,26,2
ham,Jus finish blowing my hair. U finish dinner already?,52,2
ham,Die... Now i have e toot fringe again...,40,6
ham,See you there! ,15,1
ham,Great! I have to run now so ttyl!,33,2
ham,Tension ah?what machi?any problem?,34,3
ham,I was slept that time.you there?,32,2
ham,"… we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """,116,5
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,96,4
ham,Are you comingdown later?,25,1
ham,when you and derek done with class?,35,1
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,80,2
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,144,5
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,118,1
ham,In e msg jus now. U said thanks for gift.,41,2
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,8
ham,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",95,8
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,78,15
ham,When are you guys leaving?,26,1
ham,Otherwise had part time job na-tuition..,40,3
ham,So wat's da decision?,21,2
ham,"Yup, leaving right now, be back soon",36,2
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... ,61,6
ham,Home so we can always chat,26,0
ham,Then i buy.,11,1
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,95,7
ham,I wont do anything de.,22,1
ham,I attended but nothing is there.,32,1
ham,Ok then i will come to ur home after half an hour,49,0
ham,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is",116,4
ham,May i call You later Pls,24,0
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,104,2
ham,Nope. I just forgot. Will show next week,40,2
ham,My uncles in Atlanta. Wish you guys a great semester.,53,2
ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",150,10
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,160,10
ham,He's just gonna worry for nothing. And he won't give you money its no use.,74,4
ham,Chk in ur belovd ms dict,24,0
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",126,7
ham,Yupz... I've oredi booked slots 4 my weekends liao... ,54,7
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,94,6
ham,When i have stuff to sell i.ll tell you,39,1
ham,O i played smash bros  &lt;#&gt;  religiously.,46,6
ham,I love working from home :),27,2
ham,Oh dang! I didn't mean o send that to you! Lol!,47,4
ham,Still at west coast... Haiz... Ü'll take forever to come back...,64,10
ham,I'm at work. Please call,24,2
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do.""",133,9
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,146,15
ham,I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ,83,10
ham,Well you told others you'd marry them...,40,4
ham,I'm at home. Please call,24,2
ham,Where in abj are you serving. Are you staying with dad or alone.,64,2
ham,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",158,8
ham,I'm at work. Please call,24,2
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",148,11
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,87,2
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",150,10
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",113,13
ham,Sir send to group mail check it.,32,1
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,87,7
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,74,7
ham,Please attend the phone:),25,2
ham,Sweet heart how are you?,24,1
ham,Gud mrng dear hav a nice day,28,0
ham,Ok...,5,3
ham,Do u knw dis no. &lt;#&gt; ?,28,7
ham,"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",110,2
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,156,3
ham,Hai priya are you right. What doctor said pa. Where are you.,60,3
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,82,2
ham,Hope you are not scared!,24,1
ham,I am on the way to ur home,26,0
ham,Sleeping nt feeling well,24,0
ham,"Gosh that , what a pain. Spose I better come then.",50,3
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",153,11
ham,"I can probably come by, everybody's done around  &lt;#&gt;  right?",66,8
ham,"G says you never answer your texts, confirm/deny",48,2
ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,148,3
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",85,4
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,149,3
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,130,3
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,53,3
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,3
ham,What is the plural of the noun research?,40,1
ham,India have to take lead:),25,2
ham,Happy birthday... May all ur dreams come true...,48,6
ham,Yup song bro. No creative. Neva test quality. He said check review online.,74,4
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,62,5
ham,I am on the way to tirupur.,27,1
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie,75,2
ham,My friends use to call the same.,32,1
ham,Also maaaan are you missing out,31,0
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",158,9
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,99,16
ham,Ok. She'll be ok. I guess,25,3
ham,Have you been practising your curtsey?,38,1
ham,"I‘ve got some salt, you can rub it in my open wounds if you like!",65,2
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,117,6
ham,"Dude u knw also telugu..thts gud..k, gud nyt..",46,7
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,154,8
ham,No he didn't. Spring is coming early yay!,41,3
ham,Haha... can... But i'm having dinner with my cousin...,54,10
ham,"Hey elaine, is today's meeting still on?",40,3
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,98,1
ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",372,13
ham,Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?,95,3
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,134,2
ham,Oi when you gonna ring,22,0
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space,57,6
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,53,10
ham,So lets make it saturday or monday as per convenience.,54,1
ham,Are you staying in town ?,25,1
ham,Nt joking seriously i told,26,0
ham,No dear i do have free messages without any recharge. Hi hi hi,62,1
ham,No no. I will check all rooms befor activities,46,1
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,114,14
ham,Will you come online today night,32,0
ham,"Aight, I'll ask a few of my roommates",37,2
ham,In fact when do you leave? I think addie goes back to school tues or wed,72,1
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,35,2
ham,Yeah it's jus rite...,21,4
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,69,7
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,165,14
ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",169,12
ham,Just finished. Missing you plenty,33,1
ham,Stupid.its not possible,23,1
ham,I'm home...,11,4
ham,Good. Good job. I like entrepreneurs,36,2
ham,Yes... I trust u to buy new stuff ASAP so I can try it out,58,3
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",121,3
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,146,8
ham,I dunno until when... Lets go learn pilates...,46,6
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,6
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,8
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,6
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,2
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,8
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,8
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,11
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,8
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,2
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,5
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,5
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,12
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,3
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,10
